8-lig33      -5.6200      -5.4838      -4.9618   train
8-lig2       -5.0810      -4.1752      -3.9835   train
8-lig9       -4.6380      -4.4478      -4.3486   train
8-lig15      -4.6380      -4.2187      -4.1277   train
8-lig11      -4.4200      -4.6284      -4.7121   train
8-lig32      -4.3980      -4.0683      -3.8168   train
8-lig18      -3.8240      -4.1099      -4.2031   train
8-lig17      -3.4690      -3.4025      -3.3372   train
8-lig7       -3.3980      -4.1521      -4.3457   train
8-lig22      -3.3120      -3.5556      -4.1601   train
8-lig13      -2.7960      -2.4003      -2.1118   train
8-lig8       -2.4810      -2.8562      -3.0193   train
8-lig29      -2.3170      -1.8109      -1.4414   train
8-lig27      -2.0480      -2.4278      -3.0571   train
8-lig20      -1.9460      -2.2454      -2.5407   train
8-lig36      -1.5530      -1.3699      -1.2671   train
8-lig30      -1.2840      -1.4858      -2.2298   train
8-lig26      -1.1350      -1.5068      -1.8987   train
8-lig23      -1.0410      -1.5875      -2.4909   train
8-lig31      -1.0140      -0.7372      -0.4298   train
8-lig25      -0.8830      -1.3727      -1.9857   train
8-lig1       -0.8540      -1.3179      -1.5498   train
80-lig5     -4.8240     -3.8327      0.0000   test
80-lig1     -4.5850     -4.3386      0.0000   test
80-lig1     -3.9210     -3.0518      0.0000   test
80-lig6     -3.4200     -3.5027      0.0000   test
80-lig3     -3.0000     -2.4400      0.0000   test
80-lig1     -2.4090     -3.1751      0.0000   test
80-lig3     -2.0460     -1.7606      0.0000   test
80-lig2     -1.4980     -1.5781      0.0000   test
80-lig2     -1.0440     -1.9561      0.0000   test
80-lig2     -0.9180     -1.6606      0.0000   test
80-lig3     -0.8540     -1.7985      0.0000   test
