8-lig33      -5.6200      -5.2927      -4.6965   train
8-lig2       -5.0810      -4.1463      -3.9726   train
8-lig9       -4.6380      -4.3451      -4.2144   train
8-lig15      -4.6380      -4.2271      -4.1524   train
8-lig11      -4.4200      -4.6056      -4.6825   train
8-lig32      -4.3980      -4.0625      -3.7461   train
8-lig18      -3.8240      -4.1958      -4.2719   train
8-lig17      -3.4690      -3.4473      -3.3905   train
8-lig7       -3.3980      -4.1860      -4.3543   train
8-lig22      -3.3120      -3.6925      -4.3642   train
8-lig13      -2.7960      -2.4022      -2.2056   train
8-lig8       -2.4810      -2.6965      -2.7398   train
8-lig29      -2.3170      -1.8508      -1.6264   train
8-lig27      -2.0480      -2.3628      -2.8184   train
8-lig20      -1.9460      -2.3718      -2.5868   train
8-lig36      -1.5530      -1.3764      -1.2880   train
8-lig30      -1.2840      -1.3669      -2.2993   train
8-lig26      -1.1350      -1.5600      -1.9373   train
8-lig23      -1.0410      -1.6594      -2.3337   train
8-lig31      -1.0140      -0.7234      -0.5055   train
8-lig25      -0.8830      -1.6626      -2.2374   train
8-lig1       -0.8540      -1.3200      -1.5545   train
80-lig5     -4.8240     -3.6291      0.0000   test
80-lig1     -4.5850     -4.2176      0.0000   test
80-lig1     -3.9210     -3.1565      0.0000   test
80-lig6     -3.4200     -3.2640      0.0000   test
80-lig3     -3.0000     -2.5215      0.0000   test
80-lig1     -2.4090     -3.1402      0.0000   test
80-lig3     -2.0460     -1.6699      0.0000   test
80-lig2     -1.4980     -1.7589      0.0000   test
80-lig2     -1.0440     -2.1155      0.0000   test
80-lig2     -0.9180     -1.7550      0.0000   test
80-lig3     -0.8540     -1.5859      0.0000   test
