8-lig33      -5.6200      -5.4188      -4.8362   train
8-lig2       -5.0810      -4.1123      -3.9308   train
8-lig9       -4.6380      -4.3965      -4.2884   train
8-lig15      -4.6380      -4.1920      -4.1108   train
8-lig11      -4.4200      -4.5915      -4.6677   train
8-lig32      -4.3980      -4.1268      -3.8471   train
8-lig18      -3.8240      -4.1346      -4.2174   train
8-lig17      -3.4690      -3.3584      -3.3044   train
8-lig7       -3.3980      -4.1181      -4.2970   train
8-lig22      -3.3120      -3.8016      -4.3972   train
8-lig13      -2.7960      -2.3794      -2.1476   train
8-lig8       -2.4810      -2.7355      -2.8271   train
8-lig29      -2.3170      -1.8710      -1.5950   train
8-lig27      -2.0480      -2.5683      -3.0078   train
8-lig20      -1.9460      -2.1610      -2.3847   train
8-lig36      -1.5530      -1.3561      -1.2568   train
8-lig30      -1.2840      -1.3817      -2.2753   train
8-lig26      -1.1350      -1.4580      -1.8929   train
8-lig23      -1.0410      -1.5964      -2.3561   train
8-lig31      -1.0140      -0.8009      -0.5472   train
8-lig25      -0.8830      -1.6287      -2.2201   train
8-lig1       -0.8540      -1.2984      -1.5241   train
80-lig5     -4.8240     -3.6365      0.0000   test
80-lig1     -4.5850     -4.1947      0.0000   test
80-lig1     -3.9210     -3.0507      0.0000   test
80-lig6     -3.4200     -3.3053      0.0000   test
80-lig3     -3.0000     -2.4733      0.0000   test
80-lig1     -2.4090     -3.1907      0.0000   test
80-lig3     -2.0460     -1.6794      0.0000   test
80-lig2     -1.4980     -1.7752      0.0000   test
80-lig2     -1.0440     -1.8573      0.0000   test
80-lig2     -0.9180     -1.7348      0.0000   test
80-lig3     -0.8540     -1.7422      0.0000   test
